language,script,country,region_dialect,source_type,source_ref,collection_date,text,domain,topic,theme,sensitive_characteristic,safety_flag,pii_removed,collector_id,id,notes
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,Ba abin da za mu ce sai dai Allah ya saka maka da alheri,culture_and_religion,Blessings and divine guidance,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Dangane da tambayarka, abin da ke faruwa shi ne, a Tecno din ma akwai inda za ka je ka ga sakon, sai in ba a saita wayar a haka ba",media_and_online,Using Tecno phone,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Duk sadda ka zo shiga da wata wayar daban, ko ta hanyar kwamfuta, masarrafar za ta gane cewa ba ta hanyar da ka saba shiga bane ka shiga, ma'ana kamar ba kai bane, wani ne ke kokarin shiga akwatin naka da karfi",media_and_online,Accessing devices/accounts,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Kano,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Salam, don Allah ka taimaka min da hanyar da zan gyara shafina na Facebook a Privacy kamar yadda ka gaya min, domin na shiga amma na kasa fahintar yadda zan gyara, kuma har yanzu ana yi min satar fage a shafin nawa",media_and_online,Facebook privacy settings,specialized_advice,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Assalamu alaikum Baban Sadik, gaskiya muna jin dadin wayar mana da kai da kake",culture_and_religion,Greeting and conversation,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Wa alaikumus salam, Malam Adamu",culture_and_religion,Greeting,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,Ina godiya da addu'o'inku,culture_and_religion,thanks and prayer,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Amma kafin nan, abin da na sani sh ne, akwai hanyoyin gudanuwar maganadisu/wutar lantarki guda biyu",livelihoods_and_work,Electrical systems,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,""" A daya bangaren kuma akwai tsarin gudanuwar wutar lantarki sanadiyyar haduwar abubuwa biyu masu akasin dabi'a (tsakanin mahallin namiji – Positive – da mace – Negative)",household_and_care,electricity system,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Wannan babbar masarrafa ita ake kira ""Capacitor"", wanda ita ce ke gudanar da wutar lantarki a tsakanin rediyon a sadda take kunne",livelihoods_and_work,electrical capacitor,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Da zarar an kashe, wannan yanayin lantarki ba ya gushewa, sai a hankali",governance_civic,Cautious response,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,""" Kuma da shi nake shiga shafin Facebook",media_and_online,Using Facebook,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,Abul Waraqaat,culture_and_religion,Personal name,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Wallahi duk lokacin da zan shiga Shafin Facebook, sai a ce min dole sai na sa Confirmation Mail, kuma Gmail ya ki budewa",media_and_online,Facebook account access,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Wadannan kalmomi su za ka dauko ka saka, sai a baka damar shiga",governance_civic,instructions or directions,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,Wata Sabuwar Duniya,culture_and_religion,new world,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,Ganin haka tasa yayi tunanin shiga siyasa don kawo sauyi a mazaɓarsa,governance_civic,politics and change,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Wannan ya rage masa shahara, da cewa ashe ɗan iska ne, har yana bayyana tsaraicinsa ga duniya",culture_and_religion,Reputation and character,stereotypes,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Wannan ya tilasta masa fita daga jerin 'yan takara, abokan hamayyarsa suka samu nasara a kansa",governance_civic,Political campaign,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Wannan duniya dai ba wata bace illa sabuwar duniyar da ci gaba a fannin kimiyyar sadarwa da fasahar sarrafa bayanai ya tsunduma mu ciki tsundum, daidai gab da ƙarshen karnin da ya gabata",media_and_online,New digital world,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Wannan ita ce sabuwar duniyar tsarin sadarwa ta Intanet, wadda a farkon lamari ta faro da 'yan kwamfutocin da basu shige ɗari ba, amma a halin yanzu akwai sama da biliyan uku masu ɗauke da bayanai da muke aikawa a tsakaninmu",media_and_online,Internet communication system,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,Waɗannan su ake kira Social Networking Sites[2],media_and_online,social networking,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,Manufar a farko ita ce samar da muhallin da mutane za su tattauna da juna ta hanyar yin abota da yaɗa ra’ayoyinsu kan wasu abubuwa da suke sha’awa,governance_civic,Facilitating discussions,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,Dalilan bunƙasa da haɓakansu kuwa ba nesa suke ba,household_and_care,location of people,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Sai abu na shida, wato ingantuwar tsarin sadarwar fasahar Intanet a ƙasashe masu tasowa, musamman nahiyar Afirka, da Gabas-ta-tsakiya, da Gabashin Asiya da kuma Kudancin Amurka",media_and_online,Internet technology in developing countries,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Kai, lamarin ma ya hada da nakasassu ta ɓangaren gani da ji; duk ba a barsu a baya ba",culture_and_religion,seeing and hearing,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Shahararru daga cikin dandalin abota da aka fi shawagi a cikinsu dai su ne: Dandalin Facebook, da Dandalin Twitter, da Dandalin Instagram, da Dandalin Pinterest, da kuma Dandalin Google+",media_and_online,social media platforms,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"2! Mutum miliyan 4 ne suka ""so"" jawabin nasara da shugaba Obama ya rubuta a shafinsa na Facebook",media_and_online,Facebook post,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Shafin, wanda gwarazan masana harkar manhajar kwamfuta sama da 500 ne suka gina shi, ya zuƙi dala na gugan dala wajen miliyan 585!",livelihoods_and_work,Computer programming,specialized_advice,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,A duk rana jama'a kan matsa alamar Google+1 sau biliyan 5!,media_and_online,Google+ usage,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Cikin wannan adadi har wa yau, kashi 68 maza ne, sauran kashi 32 mata ne",livelihoods_and_work,gender statistics,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,Kashi 60 cikin 100 na mamabobin Dandalin Google+ kan shiga shafinsu a duk yini[6],media_and_online,Google+ usage,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Wannan ƙididdiga mai kama da almara, kaɗan ne daga cikin abubuwan mamaki da waɗannan shafukan abota suke ɗauke dasu",culture_and_religion,Surprising facts,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,Goma daga cikin mafiya yawansu su ne: Facebook (biliyan 1,media_and_online,social media,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Sauran sun haɗa da: LinkedIn (miliyan 160), da Orkut (miliyan 100), da NetLog (miliyan 95), da hi5 (miliyan 80), sai kuma dandalin MySpace, wanda tuni ya mace (miliyan 30)[7]",media_and_online,social media platforms,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"A bayyane yake cewa akwai matasanmu da yawa a Dandalin Facebook; tsakanin 'yan mata da samari, da tsofaffi da zawarawa, da gwagware da tuzurai, duk sun yi rajista kuma suna sada zumunci iya gwargwado",media_and_online,social media usage,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Wannan yasa duk wanda ya shiga sau ɗaya sau biyu, ba ya buƙatar wani darasi kuma",livelihoods_and_work,Completing a task,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Cikin amfanin da matasanmu ke samu a Dandalin Facebook akwai sadarwa, da yin abota, da samar da sanayya mai amfani da amfanarwa, da fahimtar rayuwa ta hanyar kallon yadda wasu ke tafiyar da rayuwarsu a duniyar da suke[9]",media_and_online,social media benefits,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Bayan haka, mu faɗaka; akwai jami'an leken asiri na gwamnati da na ɓarayi, masu neman inda rauni ko sakaci yake, don tattaro bayanai kafin su aiwatar da aikinsu, mummuna ne ko mai kyau",governance_civic,Government and security agents,misinformation,,sensitive,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Da yawa cikin ta'addancin da ake aikatawa a zamanin yau, tsakanin ƙasashen turai da namu, masu yin hakan na samun bayanan ne ta hanyar Dandalin Facebook",media_and_online,social media and intercultural relations,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,Duk wannan bai kamata ba,culture_and_religion,Appropriateness,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"In kuwa haka ne, to dole a kullum a nemi hanyoyin gyara cikin tafiyar, tunda tafiya ce doguwa",livelihoods_and_work,finding solutions in life,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Domin kamar ka kai kasuwa ne ka ajiye, duk wanda ya masa, zai iya tayawa",livelihoods_and_work,Buying and selling at the market,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Dangane da abin da ya shafi yin amfani da shafin Facebook wajen aikata miyagun ayyuka da laifuka kuwa, Graham Cluly yace: ""Dandalin Facebook ne shafin miyagun laifuka da ayyukan yanar gizo da yafi saurin haɓaka a duniya yanzu",media_and_online,Facebook and crime,misinformation,,sensitive,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,Ba ka ganshi ba bai ganka ba,culture_and_religion,Mutual seeing,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Waɗannan su ne manyan guzurori da suka kamata duk wani mai shawagi a duniyar Intanet na zamanin yau ya riƙe su, don samun isa masauƙi lafiya lau",media_and_online,internet use,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Wannan shi ne kashi na biyu na sakonnin masu karatu, kamar yadda muka yi alkawari a makon da ya gabata",education,Education and reading,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Kada a manta a rika rubuta suna, da adireshi a karshen kowace tambaya ko sakon tes/Imel",household_and_care,Writing personal details,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Assalamu alaikum Baban Sadiq, ina da waya nau'in Samsung D780",livelihoods_and_work,Greeting and device,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Jiya na yi rajistar shafin Facebook ta hanyar Opera, amma sun ki yi",media_and_online,Facebook account registration,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,Daga Maikudi,culture_and_religion,origin,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Kano,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,Baban Sadik don Allah yaya zan yi rajistar shafin Facebook a kan wayata?,media_and_online,Facebook account registration,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Assalamu alaikum, Malam mun gode da kasidar da ka fara gabatar mana mai taken 'tsarin amfani da wayar salula'",culture_and_religion,Hausa greeting and appreciation,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Kano,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,Sai ace kayi photocopy ka tura wa mutane 11 kada ya wuce lokaci kaza ba ka ba kowa ba,livelihoods_and_work,Photocopy and distribution,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Abuja,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Daga Sharif Awwal Falala, Fct-Abuja",governance_civic,location,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"A takaice ma dai, said a Yuri Gagarin ya rasa rayuwarsa a shawagin da yaje da wani jirgi da dadewa kafin Neil yayi nasa tafiyar",culture_and_religion,Yuri Gagarin's death,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Sun kuma cinma wannan buri, wajen rigan kasar Amurka yin wannan aiki, tare da zama na farko wajen aiwatar da wannan gagarumin aiki",livelihoods_and_work,Doing work for the United States,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Wa alaikumus salam, Malam Sulaiman barka ka dai",culture_and_religion,Greeting,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,Lallai ban taba samun bayanai masu nuna yiwuwar hakan ba a halin yanzu,education,information access,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,Amma a bangaren fannin kimiyya kam ban da masaniya,education,Lack of knowledge in science,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,Da fatan kana lafiya,health,well-being,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,sinadaran makamashin lantarki ne,livelihoods_and_work,electrical work,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,Sai dai tunaninmu ya sha bamban da nasu,culture_and_religion,Differences in perspective,stereotypes,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Suna yin tunani, amma irin tunanin da yayi daidai da tsarin halittarsu",education,Thought and cognition,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Amma kan abin da ya shafi kirkire-kirkire a duniyar dan adam, wannan kam ba su da shi",culture_and_religion,human creation,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Amma bambancinsu shi ne, tunanin mahaukaci bai da tsari da saiti na musamman, don ba shi da hankali",health,mental health,stereotypes,disability,sensitive,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,Lokacin da na mayar da layin babu abin da ya shigo,livelihoods_and_work,returning,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Duk wanda ya turo sakon tes tsakanin ranakun 10 ga watan Oktoba zuwa ranar 20 ga watan Nuwamba, to sakon bai iso ba",education,Deadline for test message submission,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,Wadannan sakonnin da na buga a yau duk wadanda aka turo ne kafin 10 ga watan Oktoba,media_and_online,notification release,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Salamun aliakum Baban sadiq, ina yi maka fatan alhairi, yaya aiki?",culture_and_religion,Greeting and inquiry,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,Suna na Haruna Boda Madalla,culture_and_religion,Person name,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,Wai don Allah mutum zai iya aika sakon hoto ko da wayarshi karama ce?,media_and_online,using mobile phone,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Katsina,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,Daga Usman Muazu Funtua,culture_and_religion,person name,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Eh, kana iya aika sakon hoto ko da wayar karama ce, domin galibin wayoyin salula na wannan zamani duk suna zuwa ne da wannan ka'idar aika sakonnin hotuna mai suna MMS",media_and_online,Using mobile messaging,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Ma'ana, idan na'urar daukan hoton da aka yi amfani da ita wajen daukan hoton karama ce, ka ga hoton ba zai bayyana rangadau ba",media_and_online,photography,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"A daya bangaren kuma, ko da babbar kyamara ce aka yi amfani da ita wajen dauka, idan wayar mai karban sakon karama ce, mai karamar fuska, hoton ba zai bayyana rangadau ba",media_and_online,Photography and image quality,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,Daga mai kaunarka Usman Aliyu Fatakwal,culture_and_religion,Closing letter,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Akwai babban yayana, shi ma ya taba fadawa irin wannan tarko",culture_and_religion,someone's experience,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,Allah ya kara maka girma da kuma basira,culture_and_religion,blessing and wisdom,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Ina maka/miki fatan alheri, da addu'a makamanciyar wannan a gare ka/ki",culture_and_religion,Blessing and prayer,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Wa alaikumus salam, Malam Abubakar da fatan kana lafiya",culture_and_religion,Greeting and well-wishes,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Bauchi,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Rinji, Bauchi state",governance_civic,location,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,Don karin bayani kana iya zuwa shafin: www,media_and_online,website information,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Sai kalmar ""RAM"", wanda ke nufin ""Random Access Memory",education,computer memory,specialized_advice,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,""" RAM ma'adana ce daga cikin ma'adanonin kwamfuta",livelihoods_and_work,computer hardware,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,Mizani mizani ce,culture_and_religion,balance,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Iya girman mizanin RAM din, iya saurin manhajar wajen mu'amala da ita",livelihoods_and_work,computer RAM,specialized_advice,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,""" Duk abin da kake nema, da zarar ka shiga ka binciko, za ka samu cikakkun bayanai masu gamsarwa a ciki",livelihoods_and_work,Advice and information search,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,""" Kalmar ""WIFI"" da ""3G Service"" kuma na taba amsa maka tambaya a kansu",media_and_online,WIFI and 3G service,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Musamman ganin cewa abu ne mai sauki ga kwamfuta ko wayar salula ta kamu da cuta, amma ba a iya ganewa sai bayan lokaci mai tsawo",health,digital and health,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Bayan haka, akwai nau'ukan kwayoyin cutar kwamfuta wadanda ba a iya ganewa; za su shiga kwamfutar, su gudanar da duk abin da suke son gudanarwa na satar bayanai ko leken asiri, ba tare da mai kwamfutar ya sani ba",health,computer virus and data theft,public_interest,,safe,false,,,
